N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
191;natallyFile_374_C82500xV1800;148500000;82500;1800;3240000;1619100;1613991;5109;0.997;0;7;39;40;0.975;1;1;1619100;1619100;0;1;0
192;natallyFile_378_C99600xV1100;109560000;99600;1100;1210000;604450;603250;1200;0.998;0;7;38;41;0.92683;1;1;604450;604450;0;1;0
193;natallyFile_384_C53600xV2100;112560000;53600;2100;4410000;2203950;2201149;2801;0.999;0;7;38;40;0.95;1;1;2203950;2203950;0;1;0
194;natallyFile_388_C15600xV7100;110760000;15600;7100;50410000;25201450;25160320;41130;0.998;0;7;38;40;0.95;1;1;25201450;25201450;0;1;0
195;natallyFile_397_C21700xV5400;117180000;21700;5400;29160000;14577300;14547099;30201;0.998;0;7;38;40;0.95;1;1;14577300;14577300;0;1;0
196;natallyFile_400_C17900xV6000;107400000;17900;6000;36000000;17997000;17975691;21309;0.999;0;7;38;40;0.95;1;1;17997000;17997000;0;1;0
197;natallyFile_402_C96200xV1500;144300000;96200;1500;2250000;1124250;1121150;3100;1;0;7;38;40;0.95;1;1;1124250;1124250;0;1;0
198;natallyFile_406_C15900xV8900;141510000;15900;8900;79210000;39600550;39511549;89001;0.998;0;7;38;40;0.95;1;1;39600550;39600550;0;1;0
199;natallyFile_414_C31700xV3900;123630000;31700;3900;15210000;7603050;7591600;11450;0.9985;0;7;37;40;0.925;1;1;7603050;7603050;0;1;0
200;natallyFile_421_C21300xV8000;170400000;21300;8000;64000000;31996000;31985100;10900;0.9997;0;7;38;40;0.95;1;1;31996000;31996000;0;1;0
201;natallyFile_427_C54300xV1900;103170000;54300;1900;3610000;1804050;1801199;2851;1;0;7;38;40;0.95;1;1;1804050;1804050;0;1;0
202;natallyFile_441_C32200xV5100;164220000;32200;5100;26010000;13002450;13000100;2350;0.9998;0.0002;7;38;40;0.95;1;1;13002450;13002450;0;1;0
203;natallyFile_454_C50500xV1900;95950000;50500;1900;3610000;1804050;1801199;2851;0.998;0;7;38;40;0.95;1;1;1804050;1804050;0;1;0
204;natallyFile_455_C28100xV4200;118020000;28100;4200;17640000;8817900;8815899;2001;1;0;7;38;40;0.95;1;1;8817900;8817900;0;1;0
205;natallyFile_459_C35700xV2900;103530000;35700;2900;8410000;4203550;4200599;2951;0.999;0;7;38;40;0.95;1;1;4203550;4203550;0;1;0
206;natallyFile_7_C76500xV7200;550800000;76500;7200;51840000;25916400;25910399;6001;0.9998;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
207;natallyFile_37_C64700xV6400;414080000;64700;6400;40960000;20476800;20465799;11001;1;0;7;38;40;0.95;1;1;20476800;20476800;0;1;0
208;natallyFile_54_C66300xV8500;563550000;66300;8500;72250000;36120750;36110650;10100;1;0;7;38;40;0.95;1;1;36120750;36120750;0;1;0
209;natallyFile_60_C66700xV6100;406870000;66700;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
210;natallyFile_64_C60200xV9400;565880000;60200;9400;88360000;44175300;44102399;72901;0.998;0;7;38;40;0.95;1;1;44175300;44175300;0;1;0
