variables;cant .valores no similares ;porcentaje de valores similares entre 2 matrices
5200;3100;1.000
5200;3100;1.000
5200;3100;1.000
4200;2001;1.000
4200;2001;1.000
4200;2001;1.000
4200;2001;1.000
4200;2001;1.000
10000;10999;1.000
9700;10000;1.000
4300;1839;1.000
3900;1450;1.000
7400;5009;1.000
5100;2350;1.000
5100;2350;1.000
5100;2350;1.000
3800;1301;1.000
3800;1301;1.000
3800;1301;1.000
3800;1301;1.000
3800;1301;1.000
3800;1301;1.000
3800;1301;1.000
4000;1401;1.000
4000;1401;1.000
4000;1401;1.000
4800;2009;1.000
8200;5599;1.000
5500;2149;1.000
5500;2149;1.000
4600;1501;1.000
8800;5129;1.000
8800;5101;1.000
8800;5101;1.000
8800;5101;1.000
8800;5101;1.000
10000;6549;1.000
4100;1100;1.000
4100;1100;1.000
4000;1012;1.000
4200;1001;1.000
5100;1431;1.000
9000;3999;1.000
4700;1000;1.000
4700;1000;1.000
4900;1025;1.000
4900;1025;1.000
4900;1025;1.000
4900;1025;1.000
3900;450;1.000
7200;1009;1.000
7200;1001;1.000
3;0;1.000
11;0;1.000
11;0;1.000
24;0;1.000
38;0;1.000
